state,district,subdistrict,village
karnataka,karnataka,karnataka,karnataka
karnataka,belgaum,belgaum,belgaum
karnataka,belgaum,chikodi,chikodi
karnataka,belgaum,chikodi,hadnal
karnataka,belgaum,chikodi,sulagaon
karnataka,belgaum,chikodi,mattiwade
karnataka,belgaum,chikodi,bhatnaganur
karnataka,belgaum,chikodi,kurli
karnataka,belgaum,chikodi,appachiwadi
karnataka,belgaum,chikodi,koganoli
karnataka,belgaum,chikodi,hanabarawadi
karnataka,belgaum,chikodi,hanchinal (k.s.)
karnataka,belgaum,chikodi,benadi
karnataka,belgaum,chikodi,bolewadi
karnataka,belgaum,chikodi,akkol
karnataka,belgaum,chikodi,padlihal
karnataka,belgaum,chikodi,lakhanapur
karnataka,belgaum,chikodi,jatrat
karnataka,belgaum,chikodi,adi
karnataka,belgaum,chikodi,bhivashi
karnataka,belgaum,chikodi,naganur
karnataka,belgaum,chikodi,yamagarni
karnataka,belgaum,chikodi,soundalga
karnataka,belgaum,chikodi,budihal
karnataka,belgaum,chikodi,kodni
karnataka,belgaum,chikodi,gayakanawadi
karnataka,belgaum,chikodi,shirguppi
karnataka,belgaum,chikodi,pangeri (b)
karnataka,belgaum,chikodi,budulmukh
karnataka,belgaum,chikodi,shendur
karnataka,belgaum,chikodi,gondikuppi
karnataka,belgaum,chikodi,yarnal
karnataka,belgaum,chikodi,nippani (rural)
karnataka,belgaum,chikodi,amalzari
karnataka,belgaum,chikodi,gavan
karnataka,belgaum,chikodi,tavadi
karnataka,belgaum,chikodi,manakapur
karnataka,belgaum,chikodi,kasanal
karnataka,belgaum,chikodi,donewadi
karnataka,belgaum,chikodi,boragaon
karnataka,belgaum,chikodi,boragaonwadi
karnataka,belgaum,chikodi,sadalaga (rural)
karnataka,belgaum,chikodi,janwad
karnataka,belgaum,chikodi,shiradwad
karnataka,belgaum,chikodi,karadaga
karnataka,belgaum,chikodi,barwad
karnataka,belgaum,chikodi,mangur
karnataka,belgaum,chikodi,kunnur
karnataka,belgaum,chikodi,gajabarwadi
karnataka,belgaum,chikodi,shivapurawadi
karnataka,belgaum,chikodi,bhoj
karnataka,belgaum,chikodi,hunnaragi
karnataka,belgaum,chikodi,sidnal
karnataka,belgaum,chikodi,mamadapur (kl)
karnataka,belgaum,chikodi,bhimapurwadi
karnataka,belgaum,chikodi,galatga
karnataka,belgaum,chikodi,dilalapurwadi
karnataka,belgaum,chikodi,bedkihal
karnataka,belgaum,chikodi,shamanewadi
karnataka,belgaum,chikodi,nej
karnataka,belgaum,chikodi,nagaral
karnataka,belgaum,chikodi,nanadiwadi
karnataka,belgaum,chikodi,nanadi
karnataka,belgaum,chikodi,malikwad
karnataka,belgaum,chikodi,examba
karnataka,belgaum,chikodi,kallol
karnataka,belgaum,chikodi,yadyanawadi
karnataka,belgaum,chikodi,yadurwadi
karnataka,belgaum,chikodi,chandur
karnataka,belgaum,chikodi,chandur - tek
karnataka,belgaum,chikodi,yadur
karnataka,belgaum,chikodi,hosa yedur
karnataka,belgaum,chikodi,ingali
karnataka,belgaum,chikodi,manjari
karnataka,belgaum,chikodi,manjariwadi
karnataka,belgaum,chikodi,ankali
karnataka,belgaum,chikodi,shiddapurwadi
karnataka,belgaum,chikodi,kadapur
karnataka,belgaum,chikodi,jodakurli
karnataka,belgaum,chikodi,kerur
karnataka,belgaum,chikodi,roopanal
karnataka,belgaum,chikodi,hirekudi
karnataka,belgaum,chikodi,chikodi (rural)
karnataka,belgaum,chikodi,kuppanawadi
karnataka,belgaum,chikodi,girgaon
karnataka,belgaum,chikodi,shirgaon
karnataka,belgaum,chikodi,shiragaonwadi
karnataka,belgaum,chikodi,khadaklat
karnataka,belgaum,chikodi,thapakarwadi
karnataka,belgaum,chikodi,pangire (a)
karnataka,belgaum,chikodi,rampur
karnataka,belgaum,chikodi,chikalwal
