subdistrict,district
chikodi,belgaum
athni,belgaum
raybag,belgaum
gokak,belgaum
hukeri,belgaum
khanapur,belgaum
sampgaon,belgaum
parasgad,belgaum
ramdurg,belgaum
jamkhandi,bagalkot
bilgi,bagalkot
mudhol,bagalkot
badami,bagalkot
hungund,bagalkot
indi,bijapur
sindgi,bijapur
basavana bagevadi,bijapur
muddebihal,bijapur
basavakalyan,bidar
bhalki,bidar
aurad,bidar
homnabad,bidar
lingsugur,raichur
devadurga,raichur
manvi,raichur
sindhnur,raichur
yelbarga,koppal
kushtagi,koppal
gangawati,koppal
nargund,gadag
ron,gadag
shirhatti,gadag
mundargi,gadag
navalgund,dharwad
hubli,dharwad
kalghatgi,dharwad
kundgol,dharwad
karwar,uttara kannada
supa,uttara kannada
haliyal,uttara kannada
yellapur,uttara kannada
mundgod,uttara kannada
sirsi,uttara kannada
ankola,uttara kannada
kumta,uttara kannada
siddapur,uttara kannada
honavar,uttara kannada
bhatkal,uttara kannada
shiggaon,haveri
savanur,haveri
hangal,haveri
byadgi,haveri
hirekerur,haveri
ranibennur,haveri
hadagalli,bellary
hagaribommanahalli,bellary
hospet,bellary
siruguppa,bellary
sandur,bellary
kudligi,bellary
molakalmuru,chitradurga
challakere,chitradurga
holalkere,chitradurga
hosdurga,chitradurga
hiriyur,chitradurga
harihar,davanagere
harapanahalli,davanagere
jagalur,davanagere
honnali,davanagere
channagiri,davanagere
sagar,shimoga
sorab,shimoga
shikarpur,shimoga
hosanagara,shimoga
tirthahalli,shimoga
bhadravati,shimoga
kundapura,udupi
karkal,udupi
sringeri,chikmagalur
koppa,chikmagalur
narasimharajapura,chikmagalur
tarikere,chikmagalur
kadur,chikmagalur
mudigere,chikmagalur
chiknayakanhalli,tumkur
sira,tumkur
pavagada,tumkur
madhugiri,tumkur
koratagere,tumkur
gubbi,tumkur
tiptur,tumkur
turuvekere,tumkur
kunigal,tumkur
bangalore north,bangalore
bangalore south,bangalore
bangalore east,bangalore
anekal,bangalore
krishnarajpet,mandya
nagamangala,mandya
pandavapura,mandya
shrirangapattana,mandya
maddur,mandya
malavalli,mandya
sakleshpur,hassan
belur,hassan
arsikere,hassan
alur,hassan
arkalgud,hassan
hole narsipur,hassan
channarayapatna,hassan
mangalore,dakshina kannada
bantval,dakshina kannada
beltangadi,dakshina kannada
puttur,dakshina kannada
sulya,dakshina kannada
madikeri,kodagu
somvarpet,kodagu
virajpet,kodagu
piriyapatna,mysore
hunsur,mysore
krishnarajanagara,mysore
heggadadevankote,mysore
nanjangud,mysore
tirumakudal - narsipur,mysore
gundlupet,chamarajanagar
yelandur,chamarajanagar
kollegal,chamarajanagar
aland,gulbarga
afzalpur,gulbarga
chincholi,gulbarga
sedam,gulbarga
chitapur,gulbarga
jevargi,gulbarga
shorapur,yadgir
shahpur,yadgir
srinivaspur,kolar
malur,kolar
bangarapet,kolar
mulbagal,kolar
gauribidanur,chikkaballapura
gudibanda,chikkaballapura
bagepalli,chikkaballapura
sidlaghatta,chikkaballapura
chintamani,chikkaballapura
nelamangala,bangalore rural
dod ballapur,bangalore rural
devanahalli,bangalore rural
hosakote,bangalore rural
magadi,ramanagara
channapatna,ramanagara
kanakapura,ramanagara
